coordinates,bus_name,kilovolt levels,number of buses,vm,county,state
POINT (-124.5778 48.2414),NEAH BAY,{138.0},1,1.053042,Clallam,Washington
POINT (-124.1836 47.6956),FORKS,{138.0},1,1.056818,Jefferson,Washington
POINT (-124.057 47.04),OCEAN SHORES,{138.0},1,1.069337,Grays Harbor,Washington
POINT (-124.1719 46.9275),WESTPORT,{138.0},2,1.070272,Grays Harbor,Washington
POINT (-124.0612 46.3165),LONG BEACH 1,{138.0},2,1.030038,Pacific,Washington
POINT (-123.9825 46.4983),OCEAN PARK,{138.0},2,1.027576,Pacific,Washington
POINT (-123.8474 47.1743),HOQUIAM,{138.0},1,1.061279,Grays Harbor,Washington
POINT (-123.762 48.0025),PORT ANGELES 1,{138.0},1,1.048952,Clallam,Washington
POINT (-123.6639 47.165),ABERDEEN 1,"{345.0, 138.0}",2,1.069161,Grays Harbor,Washington
POINT (-123.686 47.1889),MONTESANO,{138.0},2,1.063734,Grays Harbor,Washington
POINT (-123.6148 46.656),RAYMOND,{138.0},2,1.028084,Pacific,Washington
POINT (-123.2943 47.0719),ELMA 1,{138.0},1,1.0706,Grays Harbor,Washington
POINT (-123.332 47.988),PORT ANGELES 2,"{345.0, 138.0}",2,1.06792,Clallam,Washington
POINT (-123.332 46.1904),CATHLAMET,{138.0},1,1.028963,Wahkiakum,Washington
POINT (-123.13 47.1504),SHELTON 1,{138.0},1,1.079507,Mason,Washington
POINT (-123.0717 47.1479),SHELTON 2,"{345.0, 138.0}",2,1.076391,Mason,Washington
POINT (-123.0418 46.7918),ROCHESTER,{138.0},1,1.05088,Thurston,Washington
POINT (-123.0375 48.6268),FRIDAY HARBOR,{138.0},1,1.042151,San Juan,Washington
POINT (-123.158 48.0874),SEQUIM 1,{138.0},2,1.046679,Clallam,Washington
POINT (-123.0817 48.0024),SEQUIM 2,{138.0},1,1.050898,Clallam,Washington
POINT (-123.1324 47.0228),OLYMPIA 1,{138.0},2,1.075545,Thurston,Washington
POINT (-123.1433 47.0673),OLYMPIA 2,{138.0},1,1.069686,Thurston,Washington
POINT (-123.011 46.1277),LONGVIEW 1,{138.0},1,1.020588,Columbia,Oregon
POINT (-122.9894 46.1467),LONGVIEW 2,{138.0},3,1.019142,Cowlitz,Washington
POINT (-122.9629 46.66),CHEHALIS 1,{138.0},1,1.045965,Lewis,Washington
POINT (-123.0213 47.1433),OLYMPIA 3,{138.0},2,1.075209,Mason,Washington
POINT (-122.9228 47.1717),OLYMPIA 4,{138.0},1,1.069933,Thurston,Washington
POINT (-122.8957 46.4187),WINLOCK,{138.0},1,1.041823,Lewis,Washington
POINT (-122.8481 46.7548),CENTRALIA 1,{138.0},1,1.05384,Lewis,Washington
POINT (-122.9264 47.4535),BELFAIR,{138.0},2,1.062673,Mason,Washington
POINT (-122.8091 46.3394),CASTLE ROCK 1,{138.0},1,1.029836,Cowlitz,Washington
POINT (-122.8581 46.9955),OLYMPIA 5,{138.0},2,1.043319,Thurston,Washington
POINT (-122.886 46.9904),OLYMPIA 6,{138.0},3,1.043801,Thurston,Washington
POINT (-122.9455 48.5514),EASTSOUND,{138.0},2,1.044018,San Juan,Washington
POINT (-122.8519 47.0745),OLYMPIA 7,{138.0},1,1.043806,Thurston,Washington
POINT (-122.8913 48.0143),PORT TOWNSEND,{138.0},1,1.048132,Jefferson,Washington
POINT (-122.8071 46.9218),TENINO,{138.0},2,1.048239,Thurston,Washington
POINT (-122.7222 46.9892),LACEY 1,"{345.0, 138.0}",3,1.05522,Thurston,Washington
POINT (-122.7906 47.003),LACEY 2,{138.0},1,1.043826,Thurston,Washington
POINT (-122.752 47.1839),OLYMPIA 8,{138.0},1,1.066447,Pierce,Washington
POINT (-122.8087 47.5276),BREMERTON 1,{138.0},3,1.062175,Kitsap,Washington
POINT (-122.8782 47.5296),BREMERTON 2,"{1.0, 138.0, 13.8}",4,1.061158,Kitsap,Washington
POINT (-122.8403 46.0854),KELSO,{138.0},1,1.016132,Cowlitz,Washington
POINT (-122.7386 47.3623),LAKEBAY 1,{138.0},1,1.065036,Pierce,Washington
POINT (-122.7153 46.8946),OLYMPIA 9,{138.0},1,1.048838,Thurston,Washington
POINT (-122.6934 47.0142),OLYMPIA 10,{138.0},2,1.04561,Thurston,Washington
POINT (-122.7669 46.0192),KALAMA,{138.0},2,1.017666,Cowlitz,Washington
POINT (-122.7883 47.3039),GIG HARBOR 1,{138.0},1,1.064825,Pierce,Washington
POINT (-122.691 45.7379),VANCOUVER 1,{138.0},1,1.035033,Clark,Washington
