coordinates,Power generated,Power capacity,Remaining Capacity,KVlevels,color,generation name,number of buses,generation type,county,state
POINT (-119.908 46.6451),463.52000499999997,463.52,4.9999999873762135e-06,"{138.0, 13.8, 13.2, 18.0, 20.0, 24.0, 345.0, 765.0}",blue,MATTAWA 2,10,hydro,Grant,Washington
POINT (-120.3475 45.8131),59.720001,59.72,1.00000000458067e-06,"{138.0, 13.8}",green,ROOSEVELT 1,3,wind,Klickitat,Washington
POINT (-122.1097 46.4661),48.570002,48.57,2.0000000020559128e-06,"{1.0, 138.0, 13.2}",blue,RANDLE,4,hydro,Lewis,Washington
POINT (-120.6872 47.1356),79.420001,79.42,9.999999974752427e-07,"{345.0, 138.0, 13.8}",green,CLE ELUM 2,5,wind,Kittitas,Washington
POINT (-120.8072 45.8797),136.300001,136.3,9.999999974752427e-07,"{138.0, 18.0}",green,GOLDENDALE 2,5,wind,Klickitat,Washington
POINT (-120.2953 47.5336),858.580009,858.5799999999999,9.000000090964022e-06,"{138.0, 13.8, 18.0, 345.0, 765.0}",blue,WENATCHEE 3,10,hydro,Chelan,Washington
POINT (-120.0917 47.3461),329.520004,329.52,3.999999989900971e-06,"{1.0, 138.0, 13.8, 18.0, 20.0, 22.0, 345.0, 765.0}",blue,WENATCHEE 4,11,hydro,Douglas,Washington
POINT (-121.8144 47.9084),44.270002,44.269999999999996,2.0000000020559128e-06,"{345.0, 138.0}",blue,SULTAN 2,2,hydro,Snohomish,Washington
POINT (-123.1603 47.3698),9.830001,9.83,9.999999992515995e-07,"{345.0, 138.0, 13.8, 1.0}",blue,SHELTON 3,4,hydro,Mason,Washington
POINT (-122.3657 47.0861),318.300001,318.3,9.999999974752427e-07,"{138.0, 13.8, 24.0, 345.0, 765.0}",orange,TACOMA 19,5,ng,Pierce,Washington
POINT (-122.2017 46.0608),144.230002,144.23000000000002,1.9999999949504854e-06,"{138.0, 13.8, 20.0, 22.0, 345.0, 765.0}",blue,COUGAR 1,6,hydro,Skamania,Washington
POINT (-120.1819 46.9547),66.350001,66.35,1.0000000116860974e-06,"{138.0, 18.0}",green,ELLENSBURG 3,2,wind,Kittitas,Washington
POINT (-119.6404 47.9951),1359.450013,1359.45,1.2999999853491317e-05,"{138.0, 13.8, 22.0, 345.0, 765.0}",blue,BRIDGEPORT,9,hydro,Douglas,Washington
POINT (-122.5885 46.5035),109.94000299999999,109.94,2.999999992425728e-06,"{345.0, 138.0}",blue,SILVER CREEK 1,2,hydro,Lewis,Washington
