wkt,flow capacity,pf,qf,pt,qt,kilovolt,line_name,srouce,target,actual flow,loading percent
"LINESTRING (-124.5778 48.2414, -124.1836 47.6956)",185.33,-16.494893,-0.295296,16.638493,-4.031858,138.0,NEAH BAY -- FORKS,FORKS,NEAH BAY,16.494893,8.900282199320133
"LINESTRING (-124.5778 48.2414, -123.762 48.0025)",167.88,6.854893,-2.244704,-6.842691,-4.594315,138.0,NEAH BAY -- PORT ANGELES 1,NEAH BAY,PORT ANGELES 1,6.854893,4.083210030974505
"LINESTRING (-124.1836 47.6956, -123.686 47.1889)",207.43,-32.618493,-2.008142,32.888985,-4.820999,138.0,FORKS -- MONTESANO,MONTESANO,FORKS,32.618493,15.725060502338136
"LINESTRING (-124.057 47.04, -124.1719 46.9275)",170.67,-3.01751,-1.569042,3.018559,0.235176,138.0,OCEAN SHORES -- WESTPORT,WESTPORT,OCEAN SHORES,3.01751,1.768037733638015
"LINESTRING (-124.057 47.04, -123.8474 47.1743)",201.54,20.042219,6.856951,-19.991855,-8.540395,138.0,OCEAN SHORES -- HOQUIAM,OCEAN SHORES,HOQUIAM,20.042219,9.94453656842314
"LINESTRING (-124.057 47.04, -123.7739 46.9728)",211.8,-31.414708,-6.37791,31.498761,3.66836,138.0,OCEAN SHORES -- ABERDEEN 2,ABERDEEN 2,OCEAN SHORES,31.414708,14.83225118035883
"LINESTRING (-124.1719 46.9275, -124.1719 46.9275)",10000.0,10.450205,2.751196,-10.45,-2.75,138.0,WESTPORT -- WESTPORT,WESTPORT,WESTPORT,10.450205,0.10450205
"LINESTRING (-124.1719 46.9275, -123.7739 46.9728)",195.1,-13.468764,-2.986372,13.50015,0.7093,138.0,WESTPORT -- ABERDEEN 2,ABERDEEN 2,WESTPORT,13.468764,6.9035181957970275
"LINESTRING (-124.0612 46.3165, -124.0612 46.3165)",10000.0,-13.44,-1.28,13.440467,1.281953,138.0,LONG BEACH 1 -- LONG BEACH 1,LONG BEACH 1,LONG BEACH 1,13.44,0.1344
"LINESTRING (-124.0612 46.3165, -123.9825 46.4983)",212.34,-28.631895,7.104428,28.704356,-8.210306,138.0,LONG BEACH 1 -- OCEAN PARK,OCEAN PARK,LONG BEACH 1,28.631895,13.483985589149478
"LINESTRING (-124.0612 46.3165, -123.9617 46.2056)",218.55,-36.566782,14.097795,36.653199,-15.706815,138.0,LONG BEACH 1 -- WARRENTON,WARRENTON,LONG BEACH 1,36.566782,16.731540608556394
"LINESTRING (-124.0612 46.3165, -123.7279 45.5991)",231.63,51.758209,-22.484176,-51.250602,5.235433,138.0,LONG BEACH 1 -- TILLAMOOK,LONG BEACH 1,TILLAMOOK,51.758209,22.345209601519667
"LINESTRING (-123.9825 46.4983, -123.9825 46.4983)",10000.0,16.820647,2.592869,-16.82,-2.59,138.0,OCEAN PARK -- OCEAN PARK,OCEAN PARK,OCEAN PARK,16.820647,0.16820647
"LINESTRING (-123.9825 46.4983, -123.6148 46.656)",229.92,-52.337498,7.0237,52.68473,-7.971274,138.0,OCEAN PARK -- RAYMOND,RAYMOND,OCEAN PARK,52.337498,22.763351600556714
